time, path, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, cc_state, cc_param, bw_max, transit, 
0, 0, 1, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1762,
0, 0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3202,
21040, 0, 3, -1, 0, 0, 15360, 0, 21040, 21040, 21040, 0, 0, 1252, 1372, 0, 0, 0, 0, 0, 0, 0, 0, 2005,
21656, 0, 3, -1, 0, 0, 15360, 0, 21656, 21117, 21040, 40726, 0, 1252, 1378, 0, 0, 0, 0, 0, 0, 0, 0, 1717,
21656, 0, 4, -1, 0, 0, 15360, 0, 21656, 21117, 21040, 40726, 0, 1252, 1378, 0, 0, 0, 0, 0, 0, 0, 0, 1772,
22569, 0, 5, -1, 0, 0, 15360, 0, 21656, 21117, 21040, 40726, 0, 1252, 1378, 0, 0, 0, 0, 0, 0, 0, 0, 3024,
22569, 0, 6, -1, 0, 0, 15360, 0, 21656, 21117, 21040, 40726, 0, 1252, 1378, 0, 0, 0, 0, 0, 0, 0, 0, 4276,
23712, 0, 7, -1, 0, 0, 15360, 0, 21656, 21117, 21040, 40726, 0, 1252, 1378, 0, 0, 0, 0, 0, 0, 0, 0, 5528,
25090, 0, 8, -1, 0, 0, 15360, 0, 21656, 21117, 21040, 40726, 0, 1252, 1378, 0, 0, 0, 0, 0, 0, 0, 0, 6780,
25252, 0, 8, 1, 25252, 0, 15360, 0, 22604, 21302, 21040, 81648, 0, 1440, 1598, 0, 0, 0, 0, 0, 0, 0, 451566, 5118,
26687, 0, 9, 1, 25252, 0, 15360, 0, 22604, 21302, 21040, 81648, 0, 1440, 1598, 0, 0, 0, 0, 0, 0, 0, 451566, 6558,
28285, 0, 10, 1, 25252, 0, 15360, 0, 22604, 21302, 21040, 81648, 0, 1440, 1598, 0, 0, 0, 0, 0, 0, 0, 451566, 7998,
29882, 0, 11, 1, 25252, 0, 15360, 0, 22604, 21302, 21040, 81648, 0, 1440, 1598, 0, 0, 0, 0, 0, 0, 0, 451566, 9438,
